Year,Wild_Freq,Wild_Area(ha),air_mean(DegC),pre_mean(mm/month),soilw_mean(mm),wind_mean(m/s),slope_mean,NDVI_mean,vegetation
1982,366,445986.10644441994,16.232392058743123,56.18743164207648,347.4080381038255,3.1497923743169336,7.715843346994541,0.6993769808743169,3.814207650273224
1983,92,13910.768105030002,17.50958956521739,100.11670033695647,435.1159276086955,3.4675265000000004,7.704930554347834,0.6741692934782609,3.130434782608696
1984,471,1962081.3005491102,15.211428806794025,97.37060606157124,465.1175197876853,2.9674436220806806,7.190661280254768,0.6556359695682933,3.5987261146496814
1985,268,64093.65299677,16.078706218283607,87.02700303731335,421.8191319402985,3.055431288432833,8.098870238805983,0.7026660758706468,3.753731343283582
1986,569,384804.79470743006,16.494694652899824,75.72446279261828,393.1743337961341,2.9596430978910315,7.888361221441136,0.7292186291739897,3.650263620386643
1987,351,134333.12478415,15.292784047008546,78.83431870085462,393.0274533048438,2.906776072079774,8.201898774928786,0.7123215574548903,3.871794871794872
1988,242,117189.54343541001,16.709541239669445,111.91713249999997,496.53331140495885,2.961055338016531,8.161712979338851,0.7124348484848487,3.7520661157024793
1989,280,99398.87426866998,16.44637521428571,100.33977598928561,500.45959092857146,3.3352704264285715,7.825676600000004,0.7299285416666664,3.857142857142857
1990,454,397601.92905722,16.3930623623348,108.73213635462591,506.1635121145362,3.0848094244493436,7.588481887665205,0.7405499999999993,3.5330396475770924
1991,654,316082.19652485,17.491266966360765,61.35457408409798,375.4230344036692,3.0548908096330223,7.963339787461766,0.7249145769622833,3.6819571865443423
1992,264,23111.76028401,16.77433650946972,88.29882771212134,460.57388484848474,3.0324324988636344,8.078812537878797,0.723155018939394,3.7196969696969697
1993,573,572066.24860894,17.43071273821993,71.17147418499151,394.1255216928441,2.9451736813263505,8.170536532286224,0.7152115183246059,3.5898778359511345
1994,468,291392.69181439,16.602521871794817,56.073582754273296,345.80948465811895,2.925944976068384,8.101898230769235,0.7013394052706547,3.6452991452991452
1995,350,48268.65353985,16.662535334285693,87.50246764285703,407.6482595885722,3.2793448191428576,7.858993617142861,0.7130262142857138,3.72
1996,423,49229.22206756,16.633647133569692,86.09080391962162,449.96464595744703,3.196981280614657,7.44345942789598,0.7214640661938521,3.7612293144208038
1997,574,437433.56236923,17.043943331010478,68.17860415679438,396.38273984320625,3.067283789198615,8.011604513937286,0.7103744773519165,3.975609756097561
1998,255,51059.63422141,17.53503787450979,104.83582814509786,425.8812854509805,3.3006969019607864,6.468926298039229,0.6991986928104573,4.035294117647059
1999,193,16370.999699319998,17.101007378238357,98.98455106217615,454.91847725388584,3.123277513471503,7.284515803108813,0.7050200777202081,3.7461139896373057
2000,603,375728.64165569,17.618874247097814,78.61076600829217,413.9071001492532,2.9418355179104485,7.744740298507494,0.7350158512990601,3.504145936981758
2001,693,1047276.74137023,17.7646083102453,83.27291296825382,432.9070214862916,2.9972386836940883,7.704508457431488,0.7425965728715732,3.735930735930736
2002,1240,1870345.14076272,17.057808375806434,57.718578645160996,339.23298429919345,2.771936364354831,7.9390154354839115,0.7015383938172032,3.446774193548387
2003,407,135847.66561149,17.69665850859947,78.25443670515968,379.1016746928757,3.021514398525802,7.656804429975431,0.7200822276822282,3.574938574938575
2004,311,55856.5800195,17.625110979099695,76.22920426688103,371.179723826366,3.0808538012861715,6.791105778135051,0.6934797159699887,3.2958199356913185
2005,478,121227.54718723,18.44715156903771,83.43560329916285,414.4332251966537,2.845532436820074,7.46520773221759,0.7250988493723844,3.288702928870293
2006,602,441399.79919682,16.91913626328901,56.00502964784058,315.8387087740862,2.963653950996677,7.164520247508285,0.6474124723145073,3.7209302325581395
2007,623,133726.25062492,17.635577292134705,81.59185864847552,422.6605358603518,2.6569056695024096,7.815556698234338,0.7062890716960937,3.4590690208667736
2008,300,42565.20988402,17.22065960999996,86.15572721666646,429.3430119333339,3.197912350666667,7.245927980000021,0.6948323888888893,3.7733333333333334
2009,676,311567.49037092,17.67761258579883,72.0304190591714,402.0060791952658,2.84225864926035,7.832815171597627,0.6877914201183438,3.535502958579882
2010,62,3415.44186132,18.69931210483871,92.24574993548394,396.6732995161288,3.4010050645161294,7.128329080645161,0.6990076612903229,3.967741935483871
2011,77,14223.84838165,18.362716,78.31310681818182,394.773261688312,3.2772333000000007,4.709009129870131,0.636716233766234,3.779220779220779
2012,381,272378.4012022,16.773005165354324,77.75072964829398,422.331929763779,2.9162859921259856,7.163711860892397,0.6604606736657922,3.9816272965879267
2013,546,423294.80879451,17.27721105677659,93.93724706776568,427.27754821611774,2.7679596670329736,7.664362465201452,0.7030150183150174,3.95970695970696
2014,298,84117.91680599,16.983622394295313,59.28843871476504,328.38937743288625,2.7799025570469773,7.493614728187922,0.6705852628635341,3.791946308724832
2015,190,45543.314024659994,15.980378826315798,85.58105422631579,400.89850179999996,2.802893427368422,7.3252426052631625,0.6904317105263161,3.905263157894737
